ID,Name,Category,Description,Hash,Size,Nickname,UploadDate
0,Aimbot,AimBot,AIMBOT.cs,22fce78f98938944409a2c0b6b953119,23221,BiteMe,"2020-08-24 19:05:50"
1,"Tanker Hack","Tanker Hack",dunno.cs,24d9f6bd9e8bff40efd0059932b184ff,17688,BiteMe,"2020-08-24 19:08:26"
2,S0beit,S0beit,d3d9.dll,ef468ece6239837125f3080c0e93b1bb,280064,BiteMe,"2020-08-24 19:10:12"
3,S0beit,S0beit,s0beit_Athlon.ini,e708bbac5b1b1f3a2e36dde38699830b,32063,BiteMe,"2020-08-24 19:10:28"
4,S0beit,S0beit,s0beit_Athlon.raw,d7c0dea609bd25249025f0e98cf9c9d2,28800,BiteMe,"2020-08-24 19:10:45"
5,S0beit,S0beit,carmods.two,c5f6270eb1004a541536680a44408f9f,11471,BiteMe,"2020-08-24 19:11:40"
6,"SAD Injector Hack","SAD Injector Hack",sad.rar,1bfe904339168ac40da3dcb3dab67723,118303,BiteMe,"2020-09-17 13:04:43"
7,S0beit,S0beit,HANDLING.two,572ef3cab40bdb9748db83adc91ea16c,64657,BiteMe,"2020-08-24 19:11:53"
8,S0beit,S0beit,SHOPPING.two,c1de0c161c5fe9ad4884c54b0f5998ee,48792,BiteMe,"2020-08-24 19:12:08"
9,"SAD Injector Hack","SAD Injector Hack",sad.exe,e36465763d34ea82e664284ba6dadfd3,121344,BiteMe,"2020-09-17 13:06:36"
10,DRZ,DRZ,drz2021.rar,f7db4551f200e44f86e5fda7823cfa76,92496,Scotty,"2021-01-08 20:06:17"
11,S0beit,S0beit,VEHICLES.two,9c2bd18dc1c428d247e118d8e7856eca,20915,BiteMe,"2020-08-24 19:12:36"
12,Aimbot,AimBot,HeadShotAimBot.cs,08117920c2abf5d9d3b2721f590b16f7,6160,BiteMe,"2020-08-24 19:13:00"
13,S0beit,S0beit,"La Pirula Project.rar",769787824d35395013ddaa32283a38e5,587381,BiteMe,"2020-09-18 17:52:48"
14,No-Spread,No-Spread,SPREAD.cs,9fa5263e9c6df164380b6d9b5855d465,17971,BiteMe,"2020-08-24 19:13:21"
15,MultiHack03DLv2.9.3,MultiHack03DLv2.9.3,MultiHack03DLv2.9.3.zip,43c10aa3a23e043309d75a82238cf152,935598,BiteMe,"2020-09-27 11:20:00"
16,S0beit,S0beit,la_pirula_project.ini,cfb442fb5bf4b7bfdd8bdc3d0fa9fb51,49152,BiteMe,"2020-08-24 19:14:06"
17,S0beit,S0beit,d3d9.dll,993c66bd7df79f76be692289dd8807b5,1118208,BiteMe,"2020-08-24 19:14:19"
18,"Troll Car","Troll Car",OPiTroll_v2.cs,3cba430634a9ad4cdc912e5ef8713c7d,19642,BiteMe,"2020-08-24 19:14:57"
19,"Triggerbot aka undetectable","Triggerbot aka undetectable",Triggerbot.cs,e6cb2a4a836923c67846b5e00ae8bec7,18990,BiteMe,"2020-08-24 19:15:13"
20,OP-HaX,OP-HaX,OP-HaX.cs,47178d9306cf722974a53b6b8808ea00,108751,BiteMe,"2020-08-24 19:15:46"
21,OP-HaX,OP-HaX,OP-HaX.ini,5bfd5a648c94835027714915c9f6da09,1234,BiteMe,"2020-08-24 19:16:05"
22,S0beit,S0beit,d3d9.dll,196b66cd2ab143f61ea4c15e1e10beba,1538560,BiteMe,"2020-08-24 19:16:19"
23,MultiHack03DLv2.9.3,MultiHack03DLv2.9.3,mod_sa.ini,7f4815905d80c3c3dd50f33e6c00779e,56573,BiteMe,"2020-08-24 19:16:54"
24,"Wayfare invisite","Wayfare invisite","Wayfare invisite.cs",926f39080089a7a707eaa079473f5392,25082,BiteMe,"2020-08-24 19:17:06"
25,"Wall Shot","Wall Shot",wallshot.cs,66da5876f8a0c3d3e6b15cb580abebc8,22816,BiteMe,"2020-08-24 19:17:19"
26,"Nitro Hack","Nitro Hack","Nitro Hack CTRL.cs",920bd16b42e9cf1c9197260b4290d542,17928,BiteMe,"2020-08-24 19:17:35"
27,No-Reload,No-Reload,"No Reload.cs",b5e7b54038df98416dce456ed27be9e7,17594,BiteMe,"2020-08-24 19:17:59"
28,"Tanker Hack","Tanker Hack","Tanker Car Active L.cs",8a3524537657ce4f6d3f64d6526dcd92,18441,BiteMe,"2020-08-24 19:18:21"
29,"Tele Z Click V1","Tele Z Click V1","Tele Z Click V1.cs",d3e985151bdbb3f3588fb0aeaa408e65,21130,BiteMe,"2020-08-24 19:18:33"
30,"OP Hack Car","OP Hack Car",]OP[HackCar.cs,dcad564e50fe0ecfa63c9b6003ee71ab,19255,BiteMe,"2020-08-24 19:18:56"
31,"Weapon Hack","Weapon Hack","WH 0.3.DL Active W+H.cs",1e0b1859b633066203f466bab4a6b038,20538,BiteMe,"2020-08-24 19:19:22"
32,"Sniper Hack","Sniper Hack","SNIPER HACK.cs",217783943f037774a37ea6853322cd92,22003,BiteMe,"2020-08-24 19:19:34"
33,RapidFire,RapidFire,"RapidFire cheat offline RAPID.cs",693e876891d863e2fbd078b77d18fab0,21037,BiteMe,"2020-08-24 19:19:48"
34,Drift,Drift,drift.cs,3eeb766ce142149763c3386999409ab1,18053,BiteMe,"2020-08-24 19:20:09"
35,"Aimbot Skin","Aimbot Skin","Aimbot Skin -Re-Up- .cs",e9d758e9b963adb3498261f75a2d0ca7,18642,BiteMe,"2020-08-24 19:20:27"
36,"Fix Veh","Fix Veh","Fix Veh -.cs",e1a7fba8fccebc02c9c31cb74560241b,18305,BiteMe,"2020-08-24 19:20:43"
37,"CLEO Fast Enter / Exit Vehicle","CLEO Fast Enter / Exit Vehicle","CLEO fast Enter Exit Vehicle.cs",e473e36edc290cf123d4f1fe05538b56,25939,BiteMe,"2020-08-24 19:21:01"
38,"Anti-Fail Anim","Anti-Fail Anim","AntiFail Anim.cs",fb5a6f5131617168de31a510c9c46fe7,18371,BiteMe,"2020-08-24 19:21:16"
39,"Anti-Fail Bike","Anti-Fail Bike","Moto No fail.cs",c1f0df5956e6ae11948043b2ed6da7ec,17591,BiteMe,"2020-08-24 19:21:29"
40,"Anti Car Roaming","Anti Car Roaming","Anti Car Roaming ( CR ).cs",201254af426e96b1c758248cb8ef4baa,463,BiteMe,"2020-08-24 19:21:46"
41,"CarsWater 6","CarsWater 6","CarsWater 6.cs",6ffa6b39259b27306a6e00df0a7d7789,17641,BiteMe,"2020-08-24 19:22:03"
42,"Map M","Map M","Map M.cs",f3dbbc0bb6e65215c01ef03f11dbf7c5,18485,BiteMe,"2020-08-24 19:22:19"
